// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
11680	15129970	0.079391	-0.050377	9.819777	-0.005901	0.004534	-0.013740	0.265754	-0.266614	-1.022421	-1.021039	-0.108256	35.645934
11683	15129995	0.091763	-0.044575	9.817088	0.005588	0.002316	0.011300				-1.020241	-0.107896	35.647540
11687	15130020	0.099508	-0.036582	9.829456	-0.003256	0.003733	-0.000259				-1.017504	-0.109077	35.643993
11690	15130045	0.084364	-0.017920	9.815579	-0.004989	0.002469	-0.001729				-1.018219	-0.108728	35.643744
11694	15130070	0.106361	-0.035354	9.822637	-0.015877	0.006454	0.001143	0.265294	-0.267591	-1.022446	-1.020493	-0.107801	35.643888
11697	15130095	0.085968	-0.035559	9.811539	-0.012359	0.007521	-0.000836				-1.022263	-0.106726	35.643756
11701	15130120	0.098238	-0.040354	9.826716	0.007287	0.006215	-0.016835				-1.015137	-0.108650	35.643092
11704	15130145	0.093009	-0.055241	9.843190	0.017452	-0.004165	-0.002290				-1.012637	-0.109252	35.642778
11708	15130170	0.076169	-0.039272	9.849874	0.012304	0.012510	0.019482	0.265356	-0.268569	-1.020985	-1.010880	-0.107411	35.645544
11711	15130195	0.111494	-0.051090	9.844680	-0.004461	0.024547	0.002500				-1.011519	-0.103889	35.645832
11715	15130220	0.090062	-0.055506	9.850020	-0.013407	0.016272	-0.001994				-1.011058	-0.106067	35.645037
11718	15130245	0.094486	-0.068851	9.855585	-0.004525	-0.003056	0.015673				-1.011711	-0.106465	35.647288
11722	15130270	0.091138	-0.032549	9.852706	-0.013943	-0.000125	0.004970	0.264865	-0.267081	-1.020457	-1.013709	-0.106470	35.648003
11725	15130295	0.098464	-0.051321	9.834990	-0.001198	-0.010595	0.008363				-1.013883	-0.107966	35.649225
11729	15130320	0.099640	-0.049792	9.841847	-0.001065	0.002910	0.009392				-1.010993	-0.104565	35.649623
11732	15130345	0.096865	-0.038004	9.825331	-0.009149	0.004268	0.007956				-1.012306	-0.103934	35.650750
11736	15130370	0.096711	-0.042059	9.844547	-0.016546	0.006925	0.000133	0.264356	-0.264609	-1.019907	-1.014676	-0.102942	35.650752
11739	15130395	0.091515	-0.039410	9.834902	-0.015391	-0.003006	-0.014532				-1.016877	-0.103409	35.648677
11743	15130420	0.095886	-0.058151	9.829506	-0.009213	-0.009249	0.003237				-1.012659	-0.107813	35.652435
11746	15130445	0.081959	-0.043649	9.834853	-0.018010	-0.003473	-0.007011				-1.015237	-0.108328	35.651437
11750	15130470	0.102366	-0.048701	9.850092	-0.014782	-0.009443	-0.008075	0.264791	-0.264624	-1.021389	-1.017352	-0.109701	35.650306
11753	15130495	0.087686	-0.051680	9.818457	-0.015193	0.002843	-0.000598				-1.019528	-0.109295	35.650205
11757	15130520	0.072543	-0.050345	9.841662	0.000200	0.003642	0.010516				-1.016015	-0.111679	35.649724
11760	15130545	0.090991	-0.027115	9.840343	0.000720	0.013135	0.004512				-1.015913	-0.109786	35.650333
11764	15130570	0.096683	-0.031424	9.843143	-0.025007	-0.005254	-0.005153	0.264785	-0.265118	-1.021896	-1.019493	-0.110552	35.649612
11767	15130595	0.097710	-0.017621	9.829383	-0.004379	0.018166	0.004523				-1.020122	-0.107938	35.650210
11771	15130620	0.086026	-0.040817	9.828007	-0.005026	-0.000194	0.004584				-1.018877	-0.112222	35.650219
11774	15130645	0.090023	-0.032692	9.836226	-0.003876	0.000674	-0.004880				-1.019430	-0.112138	35.649511
11778	15130670	0.065879	-0.041143	9.830616	-0.004533	-0.009829	-0.003099	0.265287	-0.265617	-1.021410	-1.020079	-0.113553	35.649091
11781	15130695	0.108629	-0.022812	9.830847	-0.005391	0.008729	0.000265				-1.020851	-0.112303	35.649110
11785	15130720	0.087457	-0.043528	9.834880	-0.013255	0.008760	0.004604				-1.019091	-0.111733	35.650338
11788	15130745	0.091669	-0.055341	9.834957	-0.000389	-0.000763	0.027242				-1.019155	-0.111773	35.654247
11792	15130770	0.086457	-0.053112	9.819831	-0.012256	-0.014366	0.005950	0.264794	-0.265611	-1.021907	-1.020912	-0.113815	35.655135
11795	15130795	0.073794	-0.045263	9.833434	-0.023694	0.000060	0.005417				-1.024307	-0.113793	35.655913
11799	15130820	0.088913	-0.055469	9.840423	-0.009972	0.006267	0.001509				-1.019597	-0.113723	35.655375
11802	15130845	0.084578	-0.039484	9.837598	-0.010426	0.004506	-0.021166				-1.021084	-0.113131	35.652324
11806	15130870	0.106171	-0.034925	9.840466	0.001891	0.003251	0.006427	0.265267	-0.266114	-1.022411	-1.020815	-0.112649	35.653238
